tag,length,average_distance,point
top304,6,0.0,-50
top304,8,1.5,-50
top304,9,2.0,-50
top304,5,0.8,-50
top304,7,1.4285714285714286,-50
top304,4,0.5,-50
top304,10,3.2,-50
top304,3,0.0,-50
top304,11,1.6363636363636365,-50
top304,1,0.0,-50
top304,12,2.5,-50
top304,13,3.076923076923077,-50
top304,2,0.0,-50
top304,14,0.0,-50
top304,18,5.666666666666667,-50
top304,16,0.0,-50
top304,15,4.266666666666667,-50
top304,20,6.2,-50
top304,17,4.117647058823529,-50
top304,19,4.947368421052632,-50
top304,26,10.0,-50
