tag,length,average_distance,point
sorted,8,3.9873046875,0
sorted,9,4.444444444444444,0
sorted,10,4.992968749999998,0
sorted,11,5.454545454545479,0
sorted,12,5.990234375,0
sorted,13,6.460336538461574,0
sorted,14,6.986607142857145,0
sorted,15,7.466666666666685,0
sorted,16,7.99169921875,0
sorted,17,8.469669117647081,0
sorted,18,8.990885416666668,0
sorted,19,9.473684210526281,0
sorted,20,9.990234375000007,0
sorted,21,10.475446428571363,0
sorted,22,10.990056818181824,0
sorted,23,11.47622282608691,0
sorted,24,11.989257812499993,0
sorted,25,12.477500000000017,0
sorted,26,12.9900841346154,0
sorted,27,13.48090277777772,0
sorted,28,13.990234375000004,0
sorted,29,14.482219827586285,0
sorted,30,14.986197916666676,0
sorted,31,15.481350806451628,0
sorted,32,15.99072265625,0
sorted,33,16.48153409090909,0
sorted,34,16.991498161764714,0
sorted,35,17.48303571428582,0
sorted,36,17.991102430555543,0
sorted,37,18.4843750000001,0
sorted,38,18.9899259868421,0
sorted,39,19.48477564102574,0
sorted,40,19.98808593749998,0
sorted,41,20.484756097560886,0
sorted,42,20.989769345238066,0
sorted,43,21.485101744185982,0
sorted,44,21.9920099431818,0
sorted,45,22.486458333333424,0
sorted,46,22.99014945652172,0
sorted,47,23.486702127659633,0
sorted,48,23.98958333333332,0
sorted,49,24.48692602040807,0
sorted,50,24.990000000000006,0
sorted,51,25.485906862744937,0
sorted,52,25.991436298076902,0
sorted,53,26.488207547169935,0
sorted,54,26.989004629629598,0
sorted,55,27.486931818181638,0
sorted,56,27.991768973214253,0
sorted,57,28.488212719298325,0
sorted,58,28.989089439655213,0
sorted,59,29.488612288135474,0
sorted,60,29.991406249999947,0
sorted,61,30.48744877049168,0
sorted,62,30.990675403225815,0
sorted,63,31.48859126984134,0
sorted,64,31.99169921875,0
sorted,65,32.48677884615394,0
sorted,66,32.990293560606055,0
sorted,67,33.490671641791046,0
sorted,68,33.99184283088229,0
sorted,69,34.48958333333319,0
sorted,70,34.9897321428572,0
sorted,71,35.49053697183113,0
sorted,72,35.989149305555614,0
sorted,73,36.48886986301378,0
sorted,74,36.99007601351357,0
sorted,75,37.489583333333215,0
sorted,76,37.99167351973691,0
sorted,77,38.490056818181806,0
sorted,78,38.99118589743595,0
sorted,79,39.48971518987326,0
sorted,80,39.99189453125004,0
sorted,81,40.48958333333337,0
sorted,82,40.988185975609696,0
sorted,83,41.48926957831329,0
sorted,84,41.990885416666735,0
sorted,85,42.49007352941149,0
sorted,86,42.98864462209298,0
sorted,87,43.489403735631946,0
sorted,88,43.99014559659087,0
sorted,89,44.48999297752822,0
sorted,90,44.990625000000065,0
sorted,91,45.48849587912095,0
sorted,92,45.991083559782645,0
sorted,93,46.49176747311799,0
sorted,94,46.98819813829793,0
sorted,95,47.4893092105264,0
sorted,96,47.99178059895829,0
sorted,97,48.49049613402072,0
sorted,98,48.991549744897895,0
sorted,99,49.49068813131297,0
sorted,100,49.99109374999992,0
sorted,101,50.49009900990108,0
sorted,102,50.990425857842986,0
sorted,103,51.49013956310695,0
sorted,104,51.989933894230816,0
