tag,length,average_distance,point
random,8,2.615234375,90
random,9,2.970486111111113,90
random,10,3.2664062500000015,90
random,11,3.670454545454549,90
random,12,3.977213541666664,90
random,13,4.296274038461538,90
random,14,4.640066964285716,90
random,15,4.958854166666666,90
random,16,5.275390625,90
random,17,5.585937500000001,90
random,18,5.952256944444444,90
random,19,6.271792763157892,90
random,20,6.646874999999994,90
random,21,6.882440476190482,90
random,22,7.424715909090911,90
random,23,7.747622282608689,90
random,24,7.881184895833331,90
random,25,8.442187500000001,90
random,26,8.441406249999996,90
random,27,8.9921875,90
random,28,9.309709821428573,90
random,29,9.673760775862078,90
random,30,9.91875,90
random,31,10.262852822580646,90
random,32,10.508056640625,90
random,33,10.727509469696969,90
random,34,11.149816176470583,90
random,35,11.573883928571432,90
random,36,11.832465277777779,90
random,37,12.27618243243243,90
random,38,12.484169407894733,90
random,39,12.868790064102566,90
random,40,13.253320312499989,90
random,41,13.581364329268283,90
random,42,14.069382440476193,90
random,43,14.288154069767447,90
random,44,14.566051136363635,90
random,45,14.956770833333339,90
random,46,15.362771739130435,90
random,47,15.745013297872347,90
random,48,16.007649739583332,90
random,49,16.32254464285715,90
random,50,16.715156250000003,90
random,51,16.849877450980387,90
random,52,17.15940504807692,90
random,53,17.615713443396213,90
random,54,17.925781250000004,90
random,55,18.233806818181826,90
random,56,18.747767857142858,90
random,57,19.09813596491228,90
random,58,19.223060344827605,90
random,59,19.468882415254235,90
random,60,19.93697916666666,90
random,61,20.1842981557377,90
random,62,20.63936491935483,90
random,63,21.047743055555557,90
random,64,21.3887939453125,96
random,65,21.58990384615384,96
random,66,21.90471117424242,96
random,67,22.066347947761187,96
random,68,22.638786764705888,96
random,69,23.005434782608685,96
random,70,23.229575892857152,96
random,71,23.779489436619727,96
random,72,24.0574001736111,96
random,73,24.166095890410965,96
random,74,24.66744087837838,96
random,75,24.825000000000003,96
random,76,25.284950657894775,96
random,77,25.422179383116877,96
random,78,25.917768429487182,96
random,79,26.257120253164555,96
random,80,26.628222656250006,96
random,81,26.797453703703695,96
random,82,27.29744664634147,96
random,83,27.52626129518072,96
random,84,27.90987723214287,96
random,85,27.85358455882354,96
random,86,28.504178779069765,96
random,87,28.825431034482758,96
random,88,29.114879261363637,96
random,89,29.462605337078653,96
random,90,29.836545138888905,96
